MS SubClass,Lot Frontage,Lot Area,Land Slope,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Misc Val,Mo Sold,Yr Sold,SalePrice,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Street_Pave,Alley_None,Alley_Pave,Lot Shape_IR2,Lot Shape_IR3,Lot Shape_Reg,Land Contour_HLS,Land Contour_Low,Land Contour_Lvl,Lot Config_CulDSac,Lot Config_FR2,Lot Config_FR3,Lot Config_Inside,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition 1_Feedr,Condition 1_Norm,Condition 1_PosA,Condition 1_PosN,Condition 1_RRAe,Condition 1_RRAn,Condition 1_RRNe,Condition 1_RRNn,Condition 2_Feedr,Condition 2_Norm,Condition 2_PosA,Condition 2_PosN,Condition 2_RRAe,Condition 2_RRAn,Condition 2_RRNn,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Roof Style_Gable,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Style_Shed,Roof Matl_Membran,Roof Matl_Metal,Roof Matl_Roll,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Exterior 1st_AsphShn,Exterior 1st_BrkComm,Exterior 1st_BrkFace,Exterior 1st_CBlock,Exterior 1st_CemntBd,Exterior 1st_HdBoard,Exterior 1st_ImStucc,Exterior 1st_MetalSd,Exterior 1st_Plywood,Exterior 1st_PreCast,Exterior 1st_Stone,Exterior 1st_Stucco,Exterior 1st_VinylSd,Exterior 1st_Wd Sdng,Exterior 1st_WdShing,Exterior 2nd_AsphShn,Exterior 2nd_Brk Cmn,Exterior 2nd_BrkFace,Exterior 2nd_CBlock,Exterior 2nd_CmentBd,Exterior 2nd_HdBoard,Exterior 2nd_ImStucc,Exterior 2nd_MetalSd,Exterior 2nd_Other,Exterior 2nd_Plywood,Exterior 2nd_PreCast,Exterior 2nd_Stone,Exterior 2nd_Stucco,Exterior 2nd_VinylSd,Exterior 2nd_Wd Sdng,Exterior 2nd_Wd Shng,Mas Vnr Type_BrkFace,Mas Vnr Type_CBlock,Mas Vnr Type_None,Mas Vnr Type_Stone,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,Central Air_Y,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detchd,Garage Type_None,Fence_GdWo,Fence_MnPrv,Fence_MnWw,Fence_None,Misc Feature_None,Misc Feature_Othr,Misc Feature_Shed,Misc Feature_TenC,Sale Type_CWD,Sale Type_Con,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_VWD,Sale Type_WD ,Sale Condition_AdjLand,Sale Condition_Alloca,Sale Condition_Family,Sale Condition_Normal,Sale Condition_Partial,HouseAge,TotalSF,TotalBath,IsRemod,OverallScore,PorchSF
20,0.410958904109589,0.1865205680705191,1,6,5,1960,1960,0.07,3,3,3,4,4,4,0.33989361702127663,1,0.0,0.21387002909796315,0.3368683718028696,2,0.3792312105565117,0.0,0.0,0.3792312105565117,1.0,0.0,1,0,3,1,3,7,8,2,4,0.8880833710919801,3,2.0,0.3548387096774194,3,3,1,0.14747191011235955,0.08355795148247978,0.0,0.0,0.0,0.0,0,0.0,5,2010,215000,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.3676470588235294,0.5095460330929147,0.16666666666666666,0,0.3258426966292135,0.19101123595505617
20,0.20205479452054792,0.06318560235063662,1,5,6,1961,1961,0.0,3,3,3,3,1,3,0.24893617021276596,2,0.09436435124508519,0.1309408341416101,0.27510917030567683,3,0.16121629374641422,0.0,0.0,0.16121629374641422,0.0,0.0,1,0,2,1,3,5,8,0,0,0.8885364748527413,1,1.0,0.49059139784946243,3,3,2,0.09831460674157302,0.0,0.0,0.0,0.20833333333333331,0.0,0,0.0,6,2010,105000,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.3602941176470588,0.30632159524819685,0.0,0,0.3258426966292135,0.18258426966292135
20,0.2054794520547945,0.07937683643486777,1,6,6,1958,1958,0.0675,3,3,3,3,1,5,0.49095744680851067,1,0.0,0.19689621726479148,0.4145352464129757,3,0.28542742398164084,0.0,0.0,0.28542742398164084,0.0,0.0,1,1,3,1,4,6,8,0,0,0.8871771635704576,1,1.0,0.20967741935483872,3,3,2,0.2759831460674157,0.04851752021563342,0.0,0.0,0.0,0.0,0,0.8064516129032259,6,2010,172000,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.38235294117647056,0.4929995757318625,0.08333333333333334,0,0.3932584269662921,0.3012640449438202
20,0.2465753424657534,0.06035749265426052,1,7,5,1968,1968,0.0,4,3,3,3,1,5,0.5664893617021277,1,0.0,0.5067895247332687,0.6581409856519027,5,0.5094664371772805,0.0,0.0,0.5094664371772805,1.0,0.0,2,1,3,1,5,8,8,2,3,0.8917082011780698,3,2.0,0.35080645161290325,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4,2010,244000,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.3088235294117647,0.8243529910903691,0.41666666666666663,0,0.3820224719101123,0.0
60,0.1815068493150685,0.07670176297747305,1,5,5,1997,1998,0.0,3,3,4,3,1,6,0.4207446808510638,1,0.0,0.06644034917555772,0.2894572676232065,4,0.17039586919104988,0.38558855885588555,0.0,0.37148594377510036,0.0,0.0,2,1,3,1,3,6,8,1,3,0.9048482102401451,3,2.0,0.32392473118279574,3,3,2,0.14887640449438203,0.04582210242587601,0.0,0.0,0.0,0.0,0,0.0,3,2010,189900,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.09558823529411764,0.4715740347899873,0.24999999999999997,1,0.2696629213483146,0.17275280898876405
60,0.19520547945205474,0.05312193927522037,1,6,6,1998,1998,0.0125,3,3,3,3,1,6,0.3202127659574468,1,0.0,0.1571290009699321,0.288833437305053,5,0.16982214572576015,0.3729372937293729,0.0,0.3643144004589787,0.0,0.0,2,1,3,1,4,7,8,1,4,0.9053013140009062,3,2.0,0.3158602150537635,3,3,2,0.25280898876404495,0.04851752021563342,0.0,0.0,0.0,0.0,0,0.0,6,2010,195500,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.08823529411764705,0.4658464149342384,0.24999999999999997,0,0.3932584269662921,0.27808988764044945
120,0.06849315068493152,0.022159647404505385,1,8,5,2001,2001,0.0,4,3,4,3,2,6,0.32765957446808514,1,0.0,0.3501454898157129,0.41734248284466624,5,0.28800917957544464,0.0,0.0,0.28800917957544464,1.0,0.0,2,0,2,1,4,6,8,0,0,0.9066606252831899,3,2.0,0.39112903225806456,3,3,2,0.0,0.0,0.16798418972332016,0.0,0.0,0.0,0,0.0,4,2010,213500,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.0661764705882353,0.4968179889690284,0.33333333333333337,0,0.4382022471910112,0.11938202247191011
120,0.07534246575342464,0.022679970617042113,1,8,5,1992,1992,0.0,4,3,4,3,1,5,0.1398936170212766,1,0.0,0.49321047526673134,0.39925140361821587,5,0.27137119908204244,0.0,0.0,0.27137119908204244,0.0,0.0,2,0,2,1,4,5,8,0,0,0.902582691436339,2,2.0,0.34005376344086025,3,3,2,0.0,0.11051212938005392,0.0,0.0,0.25,0.0,0,0.0,1,2010,191500,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.1323529411764706,0.4722104369961816,0.16666666666666666,0,0.4382022471910112,0.15870786516853932
120,0.06164383561643834,0.025030607247796276,1,8,5,1995,1996,0.0,4,3,4,3,1,6,0.6276595744680851,1,0.0,0.20126091173617847,0.49750467872738613,5,0.3677567412507171,0.0,0.0,0.3677567412507171,1.0,0.0,2,0,2,1,4,5,8,1,3,0.9039420027186226,2,2.0,0.40860215053763443,3,3,2,0.16643258426966293,0.20485175202156336,0.0,0.0,0.0,0.0,0,0.0,3,2010,236500,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.11029411764705882,0.6103097157403479,0.33333333333333337,1,0.4382022471910112,0.2731741573033708
60,0.13356164383561642,0.03795298726738491,1,7,5,1999,1999,0.0,3,3,3,3,1,1,0.0,1,0.0,0.48205625606207564,0.31004366812227074,4,0.1990820424555364,0.4268426842684268,0.0,0.4216867469879517,0.0,0.0,2,1,3,1,4,7,8,1,3,0.9057544177616674,3,2.0,0.2970430107526882,3,3,2,0.09831460674157302,0.08086253369272238,0.0,0.0,0.0,0.0,0,0.0,6,2010,189000,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.08088235294117647,0.5226983453542638,0.24999999999999997,0,0.3820224719101123,0.1404494382022472
